GeneID	Length	logFC.WT_fagvsKO_fag	logFC.WT_NoFagvsKO_NoFag	logCPM	LR	PValue	FDR
ENSMUSG00000073421	2568	1.70889333300976	4.51775077440933	9.15632468418457	154.321440995865	3.0869164000626e-34	5.88366265851931e-30
ENSMUSG00000036594	3798	1.81171351060265	4.24584758196903	8.37886246007635	128.27766306337	1.39591633716736e-28	1.33030826932049e-24
ENSMUSG00000060586	1944	2.07429978426169	3.73617750093017	7.87310267089701	116.601575578789	4.78949332636257e-26	3.04292476001569e-22
ENSMUSG00000026193	11685	2.79868527368216	2.45853531481501	7.19716423446415	102.501171983581	5.52272361475266e-23	2.10526224194371e-19
ENSMUSG00000024610	1679	1.42868644608753	2.45393725650127	8.86260794170518	74.8483113445888	5.58336090949278e-17	1.77364764891554e-13
ENSMUSG00000032231	3731	1.65644212928259	2.59123062083212	6.77126360779659	54.2801907178787	1.63382804778923e-12	3.11407625908627e-09
ENSMUSG00000000204	3964	1.50427553420889	4.37511313834553	6.35256447609641	49.4127323324743	1.86277974136147e-11	3.22768926094088e-08
ENSMUSG00000029304	1648	1.61924901835513	1.97705233471093	6.75850540601383	43.2004439990723	4.16047366847007e-10	6.0998944708492e-07
ENSMUSG00000050335	1858	1.45274955755924	1.71214427874661	7.97904560760588	39.1819900247842	3.10269418056151e-09	3.2854083934168e-06
ENSMUSG00000020009	2847	1.2220046807299	1.34187923176282	8.92239319584248	38.9970969047869	3.40320414880658e-09	3.41395110927649e-06
ENSMUSG00000064337	955	1.4727680667651	1.39153174365649	6.85175328118665	38.1995275954673	5.07081745945544e-09	4.83248903886103e-06
ENSMUSG00000030214	2633	1.52817206120197	3.64066236325298	5.4270906033127	36.6048217058858	1.12554784562221e-08	9.75133724434513e-06
