KO_fag	KO_NoFag	WT_fag	WT_NoFag
ENSMUSG00000051951	1.48860308810976	1.97569355540304	1.23984185185765	1.36899098461391
ENSMUSG00000103377	2.44431023153865	2.81857232420427	2.6123925276928	2.26403131752335
ENSMUSG00000104017	2.55950880742375	2.82110755191036	2.94869076459383	2.85052164429218
ENSMUSG00000103201	2.89904446840716	2.92991413758303	3.06713222189137	2.71867300156884
ENSMUSG00000025900	0.649615144229976	0.144883750728642	0.689554560330315	0.387601828642744
ENSMUSG00000098104	3.38377010720837	3.21094364461439	3.2907375647508	3.45368874039093
ENSMUSG00000103922	3.99992594415701	3.89537780881162	3.7947960478908	4.06462400663375
ENSMUSG00000033845	4.2395826664753	3.96629268068011	4.34601924656553	4.42026169667207
ENSMUSG00000025903	4.07069942992727	4.04885548240503	3.79464475030137	4.09251107377663
ENSMUSG00000033813	5.6313815586853	5.33847669966985	5.35306594575281	5.27960034460128
ENSMUSG00000085623	2.00197796865419	1.86951937410123	1.73116931176637	2.2946979860127
ENSMUSG00000033793	4.89900216692688	4.6105518975416	4.70835981981966	4.54375837057704
ENSMUSG00000103519	3.41613136882003	2.91956461308664	3.46446601249333	2.91201960884229
ENSMUSG00000025907	2.06384095340509	2.94150837400776	2.54053127787003	2.99393121838844
ENSMUSG00000090031	2.16071693062623	1.53176808918048	2.27415252135908	1.72943959331864
ENSMUSG00000033740	1.5083343699965	1.28766365178194	1.19435992220862	1.06678759734198
ENSMUSG00000051285	3.44878610798242	3.71422229058936	3.73668123212548	3.97949917843093
ENSMUSG00000103509	1.90493346088744	2.5896404342317	2.09557825668769	2.45701748345852
ENSMUSG00000097797	1.79754023538581	2.23295563264327	1.9573624283198	2.13864943274333
ENSMUSG00000104226	2.65154181465951	2.91314055914612	2.81983904499566	2.94255465152794
ENSMUSG00000025909	0.952195504842866	0.720160758528113	1.02194209613899	0.90976922155161
ENSMUSG00000102253	2.07791635433946	2.17038035962511	2.21206500785762	1.93791275554216
ENSMUSG00000102871	2.01406270650766	2.48306964651374	2.18235993684381	2.34122909655657
ENSMUSG00000061024	6.24125140949904	5.12625403757369	5.58037365969582	5.62229988214924
ENSMUSG00000025911	2.70822612206846	2.8362293667554	3.54527499838613	3.14255467505361
ENSMUSG00000079671	3.46693918914345	4.05129719652902	3.66671101032971	3.61257894340595
ENSMUSG00000081441	3.77479244218812	4.21991304313726	4.0958713270496	4.08279116128158
ENSMUSG00000067879	2.81056161071852	3.52316308861566	3.0072276250099	3.25722544829975
ENSMUSG00000045210	3.960711080195	4.26115333353779	3.92587142512346	3.60323835344986
ENSMUSG00000097893	2.28213429079944	2.35894887356411	2.2138201938619	2.3428674223015
ENSMUSG00000025915	3.3918759262371	3.43347371448301	2.90896407795064	3.30664857349296
ENSMUSG00000046101	1.81139715692395	1.78556627815675	1.32594440361709	1.41177571773849
ENSMUSG00000098234	6.32727732171379	5.58050304142712	6.10716957095865	5.57983698489284
ENSMUSG00000093178	7.42205918304235	7.5029315918841	7.36939450862579	7.49844173706539
ENSMUSG00000025917	5.41554928012133	5.56447395153251	5.09912913961129	5.22426274951977
ENSMUSG00000056763	2.45459965175683	2.77173746937252	2.05503626145216	2.85839844324018
ENSMUSG00000067851	3.82047258006532	3.77636775085958	3.26168495250953	3.62334335899325
ENSMUSG00000088153	6.15508225059452	5.8256534887296	5.94995346482597	6.38171012783427
ENSMUSG00000042501	1.74844663298911	1.20610067280653	1.11674293168502	1.23545076791617
ENSMUSG00000048960	-0.138812172351429	0.112048767975278	0.511188747025724	0.694445768009924
ENSMUSG00000103494	2.3359895874098	2.16316312481582	2.50407734089401	2.40590822059236
ENSMUSG00000057715	0.716070778359637	1.40633174932633	1.21599023790366	1.02357213758442
ENSMUSG00000103561	3.0103998077102	2.87015102565019	2.52810483154549	2.658909889636
ENSMUSG00000016918	1.08870421693666	1.66194949978913	1.30660236330783	2.16401590620797
ENSMUSG00000025938	0.00292810807241395	0.624517500063792	0.729851597380037	0.610608222917971
ENSMUSG00000005886	3.42334218338486	3.55474512611407	2.73290621396324	2.99684561290389
ENSMUSG00000103506	2.54664474501079	2.9850769960665	2.67470640623909	2.80375363467869
ENSMUSG00000103495	3.40921527802272	3.46640993742396	2.92708247992823	3.71087790900325
ENSMUSG00000102639	4.43978293380119	4.69078088191577	4.15332485439239	4.57057356568427
ENSMUSG00000104170	2.81391162366281	2.86217936475471	3.5064883956382	3.84823646970503
ENSMUSG00000103085	2.91253471675246	2.27529652398553	2.82761021790609	2.35479977370882
ENSMUSG00000102664	3.55349007093516	3.30414942449599	3.22049076104617	3.87437464578442
ENSMUSG00000025935	6.34440909637568	6.23095452955232	6.4146986988558	6.66550815279657
ENSMUSG00000025937	4.57745264661281	4.71457872628877	4.22592701553125	4.5878382208937
ENSMUSG00000102982	4.14375210342891	4.95130337565388	3.51577069439137	4.68774164524463
ENSMUSG00000067813	2.9692601135686	3.0248482282645	2.94118158573891	2.81360709225032
ENSMUSG00000025932	0.974612861728524	0.801806746775231	1.33924749850652	1.04454938217856
ENSMUSG00000082193	4.22007650533173	4.30962896210585	4.05278144298292	3.92086805891046
ENSMUSG00000092083	0.0155508690677095	0.549573649310833	0.519315943706196	0.0866550782778717
ENSMUSG00000025925	3.88306118687729	3.19889647395609	3.84121790828559	3.56043517216417
