KO_fag	KO_NoFag	KO_fag	KO_NoFag	KO_fag	KO_NoFag	WT_fag	WT_NoFag	WT_fag	WT_NoFag	WT_fag	WT_NoFag
ENSMUSG00000051951	1.63640333260755	2.70273274179561	1.63041452100857	1.09510247288497	1.15710584907835	1.70233490075031	0.922288630744131	1.02410346818287	0.98960087575399	1.71805245818664	1.68446778224635	1.23721786704228
ENSMUSG00000103377	2.74860935472362	3.26341098679047	2.28783400332228	2.20730849500103	2.26931187119441	2.81454092286637	2.0344946528602	2.13630949029893	3.26522897450938	2.32207125585763	2.27416699791107	2.34942388915834
ENSMUSG00000104017	2.45515174885751	2.69550338039991	2.62403423007023	2.54350872174898	2.60551209794236	3.15074114961432	2.37069487960814	3.12008411422973	3.60142920125733	2.65827148260558	2.61036722465902	2.68562411590629
ENSMUSG00000103201	3.20325103876911	3.33569255758252	2.74247568736777	2.66195017904652	2.72395355523989	2.70675553131156	2.48913633690568	2.59095117434442	3.71987065855487	2.77671293990312	2.72880868195655	2.80406557320383
ENSMUSG00000025900	1.05879319457775	0.232610582612903	0.615927972085579	0.0806159239619788	0.142619300155353	0.125421276227019	1.45939634677181	0.657191316442727	-0.0248856731690026	0.195378684818575	0.147474426872012	0.222731318119287
ENSMUSG00000098104	3.68797667757031	3.29867047649865	3.22720132616898	3.14667581784773	3.2086791940411	3.19148117011277	2.97386197570689	3.72325121032848	3.04117422071675	3.26143857870433	3.73604112720911	3.28879121200504
ENSMUSG00000103922	4.14753097957355	3.75822477850189	4.14154216797457	4.22059509273097	3.66823349604434	3.65103547211601	4.15045368466	3.53523111514887	3.50072852271998	4.60424139668947	3.673088622761	3.74834551400827
ENSMUSG00000033845	4.03943240142723	4.17321614486007	4.4632678468274	3.86427523622823	4.18568180120705	3.84866608738934	4.02271624039745	4.10255871643342	4.44328935266493	4.78716906252245	4.54505065917183	4.22773522204937
ENSMUSG00000025903	3.04933946389247	4.01233052972294	4.45403537069702	4.26553729442909	4.31996652202506	3.85044001755383	3.70742665096619	4.20477072537789	3.93944422221544	4.21990809041282	3.76232415302114	3.69057878760744
ENSMUSG00000033813	5.59922963124591	5.4058232783363	5.8323710110729	5.27340083144198	5.43995642209527	5.34080606836005	5.73108950360067	5.00155384594875	5.18326353705192	5.52682485591962	5.09208849319216	5.24615781960373
ENSMUSG00000085623	1.7168945744431	1.95724620598549	2.34056359545817	1.80525154733457	1.86725492352794	1.85005689959961	1.63243770519373	2.38182693981532	1.69974995020359	2.42820153263624	1.8721100502446	1.94736694149188
ENSMUSG00000033793	5.09832968960562	5.02341026300818	5.03642257961593	4.58666774236153	4.48998630487088	4.09963777818433	4.98644921717994	4.51628431543585	4.5584570591272	4.727220338307	4.54736700977893	4.30309129717772
ENSMUSG00000103519	3.39659764604256	3.0072914449709	2.93582229464122	2.85529678631997	3.81546550015516	2.90010213858502	4.2340772091298	2.78429778161788	2.74979518918899	2.97005954717657	2.92215528923001	2.99741218047728
ENSMUSG00000025907	2.009510984432	3.25777012050158	2.0223601980136	2.70751312280943	2.17657123800743	2.81061153809337	2.77817592217502	2.71790605165181	2.29542497344412	2.97232030869972	2.53353008550629	3.33157141412603
